normalized_artists,normalized_title,source_position,video_id,video_url,candidate_rank,candidate_score,candidate_variant,getsongbpm_song_id,getsongbpm_title,getsongbpm_artist,getsongbpm_uri,tempo,time_sig,key_of,mode,open_key,danceability,acousticness
Hans Zimmer,I've Got My Eye On You,59,nhgQYW_pYMs,https://music.youtube.com/watch?v=nhgQYW_pYMs,1,0.7709,title_only,RgKGEL,I've Got My Eye On You,Mungo Jerry,https://getsongbpm.com/song/i-ve-got-my-eye-on-you/RgKGEL,129,4/4,G,major,2d,45,54
Hans Zimmer,I've Got My Eye On You,59,nhgQYW_pYMs,https://music.youtube.com/watch?v=nhgQYW_pYMs,2,0.7552,title_only,RlpAgz,I've Got My Eye On You,David Knopfler,https://getsongbpm.com/song/i-ve-got-my-eye-on-you/RlpAgz,,,,minor,,,
Hans Zimmer,I've Got My Eye On You,59,nhgQYW_pYMs,https://music.youtube.com/watch?v=nhgQYW_pYMs,3,0.7339,title_only,GR17z3,I've Got My Eye On You (feat. Jim McCarty & Dan Devins),Kenny Parker,https://getsongbpm.com/song/i-ve-got-my-eye-on-you-featpoint-jim-mccarty-and-dan-devins/GR17z3,118,4/4,D,major,3d,71,3
Blues 'n' Trouble,Blue Because Of You,63,yipcGcmnri4,https://music.youtube.com/watch?v=yipcGcmnri4,1,0.7393,title_only,98z8mY,Blue Because Of You,Lionel Hampton,https://getsongbpm.com/song/blue-because-of-you/98z8mY,93,4/4,C#,major,8d,66,97
Sundazer,Cry Wolf,64,o2OZLe2j9so,https://music.youtube.com/watch?v=o2OZLe2j9so,1,0.8200,title_only,JnwYJ,Cry Wolf,Dare,https://getsongbpm.com/song/cry-wolf/JnwYJ,,,,minor,,,
Sundazer,Cry Wolf,64,o2OZLe2j9so,https://music.youtube.com/watch?v=o2OZLe2j9so,2,0.7840,title_only,2VLy1,Cry Wolf,Lisa Germano,https://getsongbpm.com/song/cry-wolf/2VLy1,117,4/4,G,major,2d,40,95
Sundazer,Cry Wolf,64,o2OZLe2j9so,https://music.youtube.com/watch?v=o2OZLe2j9so,3,0.7600,title_only,Y05NW,Cry Wolf,Doro,https://getsongbpm.com/song/cry-wolf/Y05NW,124,4/4,F,major,12d,30,10
Luigi Scordamaglia,Siamo Qui (feat. Guido Focardi),65,4VBhf_wEfE4,https://music.youtube.com/watch?v=4VBhf_wEfE4,1,0.6352,simplified_title_only,mZrJLR,Siamo Qui Riuniti,Rinnovamento nello Spirito Santo,https://getsongbpm.com/song/siamo-qui-riuniti/mZrJLR,100,4/4,G#,major,9d,61,6
Luigi Scordamaglia,Siamo Qui (feat. Guido Focardi),65,4VBhf_wEfE4,https://music.youtube.com/watch?v=4VBhf_wEfE4,2,0.5945,simplified_title_only,Eq20nl,Siamo Qui Per Dio,Reale,https://getsongbpm.com/song/siamo-qui-per-dio/Eq20nl,135,4/4,C,major,1d,53,1
HIM,Your Sweet 666,66,gOiFFTL5j7o,https://music.youtube.com/watch?v=gOiFFTL5j7o,1,0.6976,title_only,v2A16M,Your Sweet 666,Vitamin String Quartet,https://getsongbpm.com/song/your-sweet-666/v2A16M,130,4/4,B,minor,3m,54,67
HIM,Your Sweet 666,66,gOiFFTL5j7o,https://music.youtube.com/watch?v=gOiFFTL5j7o,2,0.6954,title_only,lxGQqg,Your Sweet 666,Synapsyche,https://getsongbpm.com/song/your-sweet-666/lxGQqg,134,4/4,B,minor,3m,59,1
Minoru Muraoka,Take Five,77,j88eE2iMuGU,https://music.youtube.com/watch?v=j88eE2iMuGU,1,0.7472,title_only,MZ12B,Take Five,Hound Dog Taylor & The HouseRockers,https://getsongbpm.com/song/take-five/MZ12B,202,4/4,B,minor,3m,35,1
Minoru Muraoka,Take Five,77,j88eE2iMuGU,https://music.youtube.com/watch?v=j88eE2iMuGU,2,0.7120,title_only,NOM5v,Take Five,Flávio Guimarães,https://getsongbpm.com/song/take-five/NOM5v,173,5/4,G#,minor,6m,44,85
Minoru Muraoka,Take Five,77,j88eE2iMuGU,https://music.youtube.com/watch?v=j88eE2iMuGU,3,0.7055,title_only,Mwwxm,Take Five,The Specials,https://getsongbpm.com/song/take-five/Mwwxm,173,5/4,A#,minor,8m,45,50
Beegie Adair,Misty,78,Qk6BEu2pAV4,https://music.youtube.com/watch?v=Qk6BEu2pAV4,1,0.7552,title_only,086xN,Misty,Mike Oldfield,https://getsongbpm.com/song/misty/086xN,166,4/4,E,minor,2m,63,28
Beegie Adair,Misty,78,Qk6BEu2pAV4,https://music.youtube.com/watch?v=Qk6BEu2pAV4,2,0.7480,title_only,mOk5r,Misty,Joe Pass,https://getsongbpm.com/song/misty/mOk5r,73,4/4,F,minor,9m,47,100
Beegie Adair,Misty,78,Qk6BEu2pAV4,https://music.youtube.com/watch?v=Qk6BEu2pAV4,3,0.7467,title_only,KAOpr,Misty,Ella Fitzgerald,https://getsongbpm.com/song/misty/KAOpr,125,4/4,G#,minor,6m,40,100
Rowan Lee Hartsuiker,Chinggis Khaanii Magtaal - by Rowan Hartsuiker,81,xwAbWWjeoWQ,https://music.youtube.com/watch?v=xwAbWWjeoWQ,1,0.5718,title_first2,mZKO4G,CHINGGIS KHAANII MAGTAAT,Davaasuren Bayarbaatar,https://getsongbpm.com/song/chinggis-khaanii-magtaat/mZKO4G,,,,minor,,,
John Mayall & The Bluesbreakers with Gary Moore,So Many Roads,96,dwc7ZEYfWYc,https://music.youtube.com/watch?v=dwc7ZEYfWYc,1,0.9568,title_only,jJN34,So Many Roads,John Mayall,https://getsongbpm.com/song/so-many-roads/jJN34,68,3/4,F,minor,9m,34,61
John Mayall & The Bluesbreakers with Gary Moore,So Many Roads,96,dwc7ZEYfWYc,https://music.youtube.com/watch?v=dwc7ZEYfWYc,2,0.7561,title_only,j4YE5,So Many Roads,Climax Blues Band,https://getsongbpm.com/song/so-many-roads/j4YE5,156,3/4,C,major,1d,43,1
John Mayall & The Bluesbreakers with Gary Moore,So Many Roads,96,dwc7ZEYfWYc,https://music.youtube.com/watch?v=dwc7ZEYfWYc,3,0.7445,title_only,jRRlEB,So Many Roads,Wentus Blues Band,https://getsongbpm.com/song/so-many-roads/jRRlEB,171,3/4,G,minor,11m,29,6
