normalized_artists,normalized_title,source_position,video_id,video_url,reason,best_match_score,best_match_title,best_match_artist,best_match_id
Feign,Dig (feat. Anthony Alexander),2625,MBIGMh1yg5U,https://music.youtube.com/watch?v=MBIGMh1yg5U,not_found,0.0000,,,
GREEN DAY,BOULEVARD OF BROKEN DREAMS - SHITTYFLUTED,2626,d4fsMPCv18I,https://music.youtube.com/watch?v=d4fsMPCv18I,not_found,0.0000,,,
Егор Летов,Всё идёт по плану (2021 Remastered Version),2627,mrRf9gsHzJM,https://music.youtube.com/watch?v=mrRf9gsHzJM,not_found,0.0000,,,
RADIO TAPOK,20 голосов | Русский рок | Пародии,2631,RSI_ZPdpuSM,https://music.youtube.com/watch?v=RSI_ZPdpuSM,not_found,0.0000,,,
Би-2,Полковнику никто не пишет,2655,ihOxsYme6pk,https://music.youtube.com/watch?v=ihOxsYme6pk,manual_reject,0.1927,Песнь 2,Батюшка,NOlZMp
Би-2,Варвара,2656,pLI54N-NOEs,https://music.youtube.com/watch?v=pLI54N-NOEs,manual_reject,0.0840,Песнь 2,Батюшка,NOlZMp
Korol i Shut,Танец злобного гения,2658,C48NTipyBXc,https://music.youtube.com/watch?v=C48NTipyBXc,not_found,0.0000,,,
Grissini Project,No Time for Caution (From “Interstellar”),2663,rOYhNTtjyW8,https://music.youtube.com/watch?v=rOYhNTtjyW8,not_found,0.0000,,,
Eddie van der Meer,Davy Jones Theme,2664,Kdd4_DXNb-s,https://music.youtube.com/watch?v=Kdd4_DXNb-s,not_found,0.0000,,,
Patrik Pietschmann,Game of Thrones Main Theme,2665,yZGBxiNPu3k,https://music.youtube.com/watch?v=yZGBxiNPu3k,not_found,0.0000,,,
Patrik Pietschmann,Hans Zimmer - Inception - Time (Piano Version) + Sheet Music,2670,Dspmds_7mlI,https://music.youtube.com/watch?v=Dspmds_7mlI,not_found,0.0000,,,
Grissini Project,Davy Jones's Theme (From ''Pirates of the Caribbean''),2671,0VpeZ6wTe08,https://music.youtube.com/watch?v=0VpeZ6wTe08,not_found,0.0000,,,
Uriël,Interstellar Main Theme,2672,K5T0WWB_Dv0,https://music.youtube.com/watch?v=K5T0WWB_Dv0,not_found,0.0000,,,
Ghost,"Ritual ""live"" Lollapalooza Chile 2016.",2676,F2CfL0L2-20,https://music.youtube.com/watch?v=F2CfL0L2-20,not_found,0.0000,,,
Metal Guitar Stuff / Tore Fagerheim,Ultimate Metal / Metalcore Gaming Music Compilation // NO VOCALS // Playlist,2681,a48_Q1b0nas,https://music.youtube.com/watch?v=a48_Q1b0nas,not_found,0.0000,,,
Pentatonix,Bohemian Rhapsody,2686,54wE05XxVww,https://music.youtube.com/watch?v=54wE05XxVww,not_found,0.0000,,,
Andy McKee,Guitar - Drifting - www.candyrat.com,2689,Ddn4MGaS3N4,https://music.youtube.com/watch?v=Ddn4MGaS3N4,not_found,0.0000,,,
Ghost,"He Is (Live ""Grammis 2016"")",2702,xQm8Ssh4ynQ,https://music.youtube.com/watch?v=xQm8Ssh4ynQ,not_found,0.0000,,,
Anthony Vincent,Chop Suey (In the style of Ghost),2703,JRo4iWjCHcs,https://music.youtube.com/watch?v=JRo4iWjCHcs,not_found,0.0000,,,
Anthony Vincent,In The End,2706,yGI2efVvLrw,https://music.youtube.com/watch?v=yGI2efVvLrw,not_found,0.0000,,,
Anthony Vincent,Chop Suey in 20 Styles,2707,L451uSkE_1Q,https://music.youtube.com/watch?v=L451uSkE_1Q,not_found,0.0000,,,
Clhmes,EUFORIA,2708,yeTUjKUVYhM,https://music.youtube.com/watch?v=yeTUjKUVYhM,not_found,0.0000,,,
Epic Celtic Music-Benevolent Wolf Pack,March to War,2711,N8ORTiDU7Ss,https://music.youtube.com/watch?v=N8ORTiDU7Ss,not_found,0.0000,,,
Mark Fowler,Numb,2712,pak09eBXAO8,https://music.youtube.com/watch?v=pak09eBXAO8,not_found,0.0000,,,
Sungha Jung,Pirates of the Caribbean,2713,jUDJCZ4HplI,https://music.youtube.com/watch?v=jUDJCZ4HplI,not_found,0.0000,,,
Enjoykin,Ламповая Няша,2748,cwJKjuyLv80,https://music.youtube.com/watch?v=cwJKjuyLv80,not_found,0.0000,,,
Кино,Кукушка,2755,iXk8QXhr7Fk,https://music.youtube.com/watch?v=iXk8QXhr7Fk,not_found,0.0000,,,
Кипелов,Ya Svoboden,2756,WWGq-wlTLnk,https://music.youtube.com/watch?v=WWGq-wlTLnk,not_found,0.0000,,,
Кипелов,Vavilon,2757,D-J-H3Q3RKs,https://music.youtube.com/watch?v=D-J-H3Q3RKs,not_found,0.0000,,,
Enjoykin,Космос Будет Наш,2759,n-AdoTkXwbc,https://music.youtube.com/watch?v=n-AdoTkXwbc,not_found,0.0000,,,
Tyler Bates,Returns a King (Based Upon Themes by Elliot Goldenthal),2760,N5wBTBCRsmQ,https://music.youtube.com/watch?v=N5wBTBCRsmQ,not_found,0.0000,,,
Logan Epic Canto,Dance Around The Campfire,2765,aeqBHVEHgvk,https://music.youtube.com/watch?v=aeqBHVEHgvk,not_found,0.0000,,,
Logan Epic Canto,The Northern Route,2766,--XEAEmqMhI,https://music.youtube.com/watch?v=--XEAEmqMhI,not_found,0.0000,,,
Idina Menzel,"Let It Go (From ""Frozen""/Soundtrack Version)",2767,qSU560anReg,https://music.youtube.com/watch?v=qSU560anReg,not_found,0.0000,,,
Alex Boyé,Let It Go (feat. One Voice Childrens Choir),2768,_lbYQSRO6QA,https://music.youtube.com/watch?v=_lbYQSRO6QA,not_found,0.0000,,,
Enjoykin,Безысходность,2776,2d9q4r54fco,https://music.youtube.com/watch?v=2d9q4r54fco,not_found,0.0000,,,
Enjoykin,"Не унывайте, пацаны",2778,wE3svJxtND0,https://music.youtube.com/watch?v=wE3svJxtND0,not_found,0.0000,,,
Совергон,Где мой нож,2782,YmSg3VHmSPg,https://music.youtube.com/watch?v=YmSg3VHmSPg,not_found,0.0000,,,
Final Hope,BGH Music (Epic Orchestra),2785,y3I_Drqk6wQ,https://music.youtube.com/watch?v=y3I_Drqk6wQ,not_found,0.0000,,,
Quest Pistols,Санта Лючия (СЛОВОБЛУД),2786,oyk3nUT-edU,https://music.youtube.com/watch?v=oyk3nUT-edU,not_found,0.0000,,,
Enjoykin,Жить по-пацански,2787,lJvvagxYoZ4,https://music.youtube.com/watch?v=lJvvagxYoZ4,not_found,0.0000,,,
Pirates of the Caribbean,He's a Pirate (Extended),2793,yRh-dzrI4Z4,https://music.youtube.com/watch?v=yRh-dzrI4Z4,not_found,0.0000,,,
Enjoykin,Пацан к успеху шел,2800,SkCKNdqkjbA,https://music.youtube.com/watch?v=SkCKNdqkjbA,not_found,0.0000,,,
DONI,"Борода (Премьера клипа, 2014)",2802,7mvqAEe58oM,https://music.youtube.com/watch?v=7mvqAEe58oM,not_found,0.0000,,,
Epic Sax Guy,"10 hours (original, HQ)",2803,q44qwyHlMfk,https://music.youtube.com/watch?v=q44qwyHlMfk,not_found,0.0000,,,
Группа КЕЙН,Новый,2806,0Ha-qxqWWIk,https://music.youtube.com/watch?v=0Ha-qxqWWIk,not_found,0.0000,,,
