normalized_artists,normalized_title,source_position,video_id,video_url,reason,best_match_score,best_match_title,best_match_artist,best_match_id
Ultar,Au Seuil,381,gGAcwVrmkXk,https://music.youtube.com/watch?v=gGAcwVrmkXk,not_found,0.0000,,,
cult of luna,I Remember,382,XHoob_0zFz8,https://music.youtube.com/watch?v=XHoob_0zFz8,not_found,0.0000,,,
Urfaust,Vom Gesicht und Rätsel,383,g9wS2V4cHcc,https://music.youtube.com/watch?v=g9wS2V4cHcc,not_found,0.0000,,,
None,It's Painless to Let Go,385,IHYxs17nGaw,https://music.youtube.com/watch?v=IHYxs17nGaw,not_found,0.0000,,,
Perry Como,It's Impossible,386,EdBts4zwt2w,https://music.youtube.com/watch?v=EdBts4zwt2w,not_found,0.0000,,,
Wounded Masquerade,Would my ending bring you peace?,389,2EGOdTxOaJA,https://music.youtube.com/watch?v=2EGOdTxOaJA,not_found,0.0000,,,
REZN,Dread,390,n7o2UCXm1LE,https://music.youtube.com/watch?v=n7o2UCXm1LE,not_found,0.0000,,,
My Useless Life,I Should Have Never Been Born,391,pZQpgxMDVCU,https://music.youtube.com/watch?v=pZQpgxMDVCU,not_found,0.0000,,,
Wounded Masquerade,be myself,392,GsmwHrMd360,https://music.youtube.com/watch?v=GsmwHrMd360,not_found,0.0000,,,
Wounded Masquerade,I died that day,393,e47dRQ_UKao,https://music.youtube.com/watch?v=e47dRQ_UKao,not_found,0.0000,,,
Blade and Bath,How to Enjoy Life?,394,J0_Z5543V5Y,https://music.youtube.com/watch?v=J0_Z5543V5Y,not_found,0.0000,,,
Blade and Bath,Trouble Sleeping,395,4v3gYpwo2yE,https://music.youtube.com/watch?v=4v3gYpwo2yE,not_found,0.0000,,,
Wounded Masquerade,All moments were in vain,398,XeUHNN7L5Jo,https://music.youtube.com/watch?v=XeUHNN7L5Jo,not_found,0.0000,,,
Decalius,A Miserable Life...,399,DEuhdR9Cf_E,https://music.youtube.com/watch?v=DEuhdR9Cf_E,not_found,0.0000,,,
