normalized_artists,normalized_title,source_position,video_id,video_url,reason,best_match_score,best_match_title,best_match_artist,best_match_id
Roadman Shaq,Feel Ting Inc.,659,DyMY2jbeLEI,https://music.youtube.com/watch?v=DyMY2jbeLEI,not_found,0.0000,,,
Stardust,Music Sounds Better With You,667,Hf244LCkkLc,https://music.youtube.com/watch?v=Hf244LCkkLc,manual_reject_broader,,,,
Vales,Warm The Room,668,Riyytm8_5TE,https://music.youtube.com/watch?v=Riyytm8_5TE,not_found,0.0000,,,
Paleface Swiss,Nail To The Tooth,670,DAf9q0mGhr0,https://music.youtube.com/watch?v=DAf9q0mGhr0,not_found,0.0000,,,
Beach Weather,"Sex, Drugs, Etc.",671,8kXNJWalO14,https://music.youtube.com/watch?v=8kXNJWalO14,not_found,0.0000,,,
Silent Rhythm,Space Ambient Sleep Music,678,AQzHFSYswr0,https://music.youtube.com/watch?v=AQzHFSYswr0,not_found,0.0000,,,
Artie Shaw & His Orchestra,Stardust,681,ggusizL531I,https://music.youtube.com/watch?v=ggusizL531I,manual_reject_broader,,,,
Meshuggah,The Abysmal Eye,701,_7XHQ09C_6I,https://music.youtube.com/watch?v=_7XHQ09C_6I,not_found,0.0000,,,
Infant Annihilator,"Baptised, Bastardised, Sodomised.",714,g_HTpeC2tW4,https://music.youtube.com/watch?v=g_HTpeC2tW4,not_found,0.0000,,,
Foster the People,Pumped Up Kicks But It's the Drake and Josh Theme Song,730,tzwXFGssmzo,https://music.youtube.com/watch?v=tzwXFGssmzo,manual_reject_broader,,,,
Yaakov Shwekey,רחם,731,xxfKbIoy2_g,https://music.youtube.com/watch?v=xxfKbIoy2_g,not_found,0.0000,,,
Shulem,Uvyom HaShabbos,732,rF2l2mtfufg,https://music.youtube.com/watch?v=rF2l2mtfufg,not_found,0.0000,,,
C418,Aria Math,733,maWHojZTnTg,https://music.youtube.com/watch?v=maWHojZTnTg,not_found,0.0000,,,
деформация души,дай денег,736,6ECkuppjECg,https://music.youtube.com/watch?v=6ECkuppjECg,not_found,0.0000,,,
DJ Cummerbund,Animal Wonderland,737,Y4FC0pUHAmI,https://music.youtube.com/watch?v=Y4FC0pUHAmI,not_found,0.0000,,,
"Slipknot and Evelyn ""Champagne"" King",Shame-ality,745,AJmQbz0uy_c,https://music.youtube.com/watch?v=AJmQbz0uy_c,not_found,0.0000,,,
Los Disturbados,Stuparena,746,A_SaCZbENZk,https://music.youtube.com/watch?v=A_SaCZbENZk,not_found,0.0000,,,
Bill McClintock,"Spiceknot - ""If You Wanna Breathe My Sulfur",747,pm08v69vG10,https://music.youtube.com/watch?v=pm08v69vG10,not_found,0.0000,,,
Rick James Dio,Holy Mary Jane,748,T_A6XC_EG4A,https://music.youtube.com/watch?v=T_A6XC_EG4A,not_found,0.0000,,,
Bill McClintock,"Mentallica - ""Land Down One-der",749,HJIIGpuuuYQ,https://music.youtube.com/watch?v=HJIIGpuuuYQ,not_found,0.0000,,,
Bill McClintock,Bob Marleykorn - “Could You Be a Freak on a Leash”,750,XgIu2xcIJ6w,https://music.youtube.com/watch?v=XgIu2xcIJ6w,not_found,0.0000,,,
DJ Cummerbund,Time Marches On (For Carol The Bell Tolls),751,jwy4_je9bdQ,https://music.youtube.com/watch?v=jwy4_je9bdQ,manual_reject_broader,,,,
DJ Cummerbund,I Believe In A Pony,752,K4KN_KqxMOQ,https://music.youtube.com/watch?v=K4KN_KqxMOQ,manual_reject_broader,,,,
DJ Cummerbund,Pretty Fly For Rasputin,753,KbWug0sFAJQ,https://music.youtube.com/watch?v=KbWug0sFAJQ,manual_reject_broader,,,,
DJ Cummerbund,That Which I Desire,754,nfVCoD6909g,https://music.youtube.com/watch?v=nfVCoD6909g,manual_reject_broader,,,,
DJ Cummerbund,The Sound of Smash Mouth,755,jJnK9EhiXQw,https://music.youtube.com/watch?v=jJnK9EhiXQw,manual_reject_broader,,,,
Uriah Heep,Lady in Black (Alternate Version),758,YAK-o_Sq-qA,https://music.youtube.com/watch?v=YAK-o_Sq-qA,manual_reject_broader,,,,
Thy Art Is Murder,Whore to a Chainsaw,760,McF8U-y01Wk,https://music.youtube.com/watch?v=McF8U-y01Wk,not_found,0.0000,,,
HIM,Enjoy the Silence,770,tQYzBm8J4M4,https://music.youtube.com/watch?v=tQYzBm8J4M4,manual_reject_broader,,,,
Hideki Taniuchi,Shinigamikai B,771,hlM8jL40xWc,https://music.youtube.com/watch?v=hlM8jL40xWc,not_found,0.0000,,,
Hideki Taniuchi,L no Kako,773,dQSG381pNWo,https://music.youtube.com/watch?v=dQSG381pNWo,not_found,0.0000,,,
Hideki Taniuchi,Tokuso,774,idXL5x6RtEQ,https://music.youtube.com/watch?v=idXL5x6RtEQ,not_found,0.0000,,,
Hideki Taniuchi,Shinigamikai,775,joOLTDC9clo,https://music.youtube.com/watch?v=joOLTDC9clo,not_found,0.0000,,,
Hideki Taniuchi,Light no Theme,776,srDmw7kSjik,https://music.youtube.com/watch?v=srDmw7kSjik,not_found,0.0000,,,
Океан Ельзи,Обійми,783,8wWrzr3_46Y,https://music.youtube.com/watch?v=8wWrzr3_46Y,not_found,0.0000,,,
