normalized_artists,normalized_title,source_position,video_id,video_url,original_artists,original_title,album,duration_seconds,getsongbpm_song_id,getsongbpm_title,getsongbpm_artist,getsongbpm_uri,tempo,time_sig,key_of,mode,open_key,danceability,acousticness,match_score,match_status
The Doors,Love Street,333,vf7m-ogAW5A,https://music.youtube.com/watch?v=vf7m-ogAW5A,The Doors,Love Street,Waiting for the Sun (50th Anniversary Deluxe Edition),173,jqWErl,Love Street,The Doors,https://getsongbpm.com/song/love-street/jqWErl,118,4/4,Am,minor,1m,71,69,0.9904,matched
Andy Williams,Michelle,334,XqaxtscI7mM,https://music.youtube.com/watch?v=XqaxtscI7mM,Andy Williams,Michelle,The Shadow of Your Smile,203,Ro0o4O,Michelle,Andy Williams,https://getsongbpm.com/song/michelle/Ro0o4O,100,4/4,Fm,minor,9m,32,93,0.9904,matched
Frank Sinatra,Rain In My Heart,337,b_vPrhPl5uY,https://music.youtube.com/watch?v=b_vPrhPl5uY,Frank Sinatra,Rain In My Heart,Cycles,202,pQrKz2,Rain in My Heart,Frank Sinatra,https://getsongbpm.com/song/rain-in-my-heart/pQrKz2,171,3/4,Bm,minor,3m,19,92,1.0000,matched
HIM,Bury me deep inside,340,q0xFztPoziU,https://music.youtube.com/watch?v=q0xFztPoziU,HIM,Bury me deep inside,Razorblade Romance,257,XogJDV,Bury Me Deep Inside Your Heart,HIM,https://getsongbpm.com/song/bury-me-deep-inside-your-heart/XogJDV,85,4/4,F♯m,minor,4m,52,28,0.9304,matched
Gojira,The Heaviest Matter of the Universe,341,BRELs2SQPeE,https://music.youtube.com/watch?v=BRELs2SQPeE,Gojira,The Heaviest Matter of the Universe,From Mars to Sirius,238,Z6OG7R,The Heaviest Matter of the Universe,Gojira,https://getsongbpm.com/song/the-heaviest-matter-of-the-universe/Z6OG7R,206,4/4,Fm,minor,9m,25,1,1.0000,matched
Low,Lullaby,342,zEmtfA8FETc,https://music.youtube.com/watch?v=zEmtfA8FETc,Low,Lullaby,I Could Live In Hope,590,6X0pV,Lullaby,Low,https://getsongbpm.com/song/lullaby/6X0pV,125,4/4,Bm,minor,3m,38,6,1.0000,matched
Radiohead,Everything In Its Right Place,343,NUnXxh5U25Y,https://music.youtube.com/watch?v=NUnXxh5U25Y,Radiohead,Everything In Its Right Place,Kid A,252,kZjE,Everything in Its Right Place,Radiohead,https://getsongbpm.com/song/everything-in-its-right-place/kZjE,124,5/4,Fm,minor,9m,30,70,1.0000,matched
twenty one pilots,Ride,344,w1Smzzw_w7Q,https://music.youtube.com/watch?v=w1Smzzw_w7Q,twenty one pilots,Ride,Blurryface,215,2x6A1j,Ride,twenty one pilots,https://getsongbpm.com/song/ride/2x6A1j,76,4/4,F♯,major,7d,65,1,1.0000,matched
Deftones,Beware,347,FzjaN0gPvaE,https://music.youtube.com/watch?v=FzjaN0gPvaE,Deftones,Beware,Saturday Night Wrist,361,qxpmvk,Beware,Deftones,https://getsongbpm.com/song/beware/qxpmvk,72,4/4,G♯,major,9d,27,1,1.0000,matched
Superheaven,Poor Aileen,348,g8R3mKlBwqE,https://music.youtube.com/watch?v=g8R3mKlBwqE,Superheaven,Poor Aileen,Ours Is Chrome,268,p8GNvr,Poor Aileen,Superheaven,https://getsongbpm.com/song/poor-aileen/p8GNvr,137,4/4,C♯,major,8d,45,1,1.0000,matched
