source_position,video_id,video_url,normalized_artists,normalized_title,original_artists,original_title,album,duration_seconds,key_of,mode,tempo,time_sig,open_key,match_status,match_score,match_reason,metadata_source,getsongbpm_song_id,getsongbpm_title,getsongbpm_artist,getsongbpm_uri,danceability,acousticness
581,QLNYibN7098,https://music.youtube.com/watch?v=QLNYibN7098,Killswitch Engage,Unleashed,Killswitch Engage,Unleashed,Atonement,276,G,major,120,4/4,2d,matched,1.0000,,GetSongBPM,Rlp0wL,Unleashed,Killswitch Engage,https://getsongbpm.com/song/unleashed/Rlp0wL,54,1
582,FnPmIrdOkcU,https://music.youtube.com/watch?v=FnPmIrdOkcU,Atakan Teoman,Aria Math (Handpan Version),Atakan Teoman,Aria Math (Handpan Version),Aria Math (Handpan Version),305,,,,,,missing,,not_found,,,,,,,
583,iPKEcdIbUEE,https://music.youtube.com/watch?v=iPKEcdIbUEE,Ulcerate,Transfiguration In and Out of Worlds,Ulcerate,Transfiguration In and Out of Worlds,Cutting the Throat of God,513,,,,,,missing,,not_found,,,,,,,
584,dHU7aV-cXXE,https://music.youtube.com/watch?v=dHU7aV-cXXE,Urfaust,Hypnotisch Bevel - De Daimonische Mensch,Urfaust,Hypnotisch Bevel - De Daimonische Mensch,Compilation Of Intoxications,453,,,,,,missing,,not_found,,,,,,,
585,p1AXvGpQMq0,https://music.youtube.com/watch?v=p1AXvGpQMq0,Montserrat Caballé,Exercises in Free Love (Montserrat Vocal),Montserrat Caballé,Exercises in Free Love (Montserrat Vocal),Messenger Of The Gods: The Singles Collection,245,,,,,,missing,,not_found,,,,,,,
589,pkP4lKEonuk,https://music.youtube.com/watch?v=pkP4lKEonuk,Ulcerate,To See Death Just Once,Ulcerate,To See Death Just Once,Cutting the Throat of God,504,C#,major,120,,,manual_entry,1.0000,,manual,,,,,,
590,hO3EH6A-SEE,https://music.youtube.com/watch?v=hO3EH6A-SEE,Ulcerate,To Flow Through Ashen Hearts,Ulcerate,To Flow Through Ashen Hearts,Cutting the Throat of God,428,,,,,,missing,,not_found,,,,,,,
591,qkesWsIqP0Y,https://music.youtube.com/watch?v=qkesWsIqP0Y,Frank Sinatra; Luciano Pavarotti,My Way,Frank Sinatra; Luciano Pavarotti,My Way,My Way (50th Anniversary Edition),213,D,major,150,4/4,3d,matched,0.9904,,GetSongBPM,rPwrk,My Way,Frank Sinatra,https://getsongbpm.com/song/my-way/rPwrk,28,40
592,1KJa-8UInos,https://music.youtube.com/watch?v=1KJa-8UInos,Rotting Christ,Devadevam,Rotting Christ,Devadevam,Rituals,319,,minor,,,,matched,0.9304,,GetSongBPM,pZLj3m,देवदेवं (Devadevam),Rotting Christ,https://getsongbpm.com/song/tha-vatha-va-devadevam/pZLj3m,,
593,674H5DJ7ECQ,https://music.youtube.com/watch?v=674H5DJ7ECQ,Ulcerate,Cutting the Throat of God,Ulcerate,Cutting the Throat of God,Cutting the Throat of God,523,,,,,,missing,,not_found,,,,,,,
594,ETIXhgZWHgg,https://music.youtube.com/watch?v=ETIXhgZWHgg,Queen,A Kind Of Magic,Queen,A Kind Of Magic,A Kind Of Magic,265,A,major,129,4/4,4d,matched,1.0000,,GetSongBPM,oYJoA,A Kind of Magic,Queen,https://getsongbpm.com/song/a-kind-of-magic/oYJoA,68,3
